Respondent ID,First Active,Age,Gender,Ethnic,education,driving license,years income,Disability,frequent,remember the last trip,weekday or weekend,time,Purpose,Speed,Comfort,Maneuverability of the vehicle,Time Availability (I can find one when I need it),Place Availability (I can find one where I need it),Coverage (It can take me where I need to go),Usability of the app,Customer service,Trip Fare,Safety,Space on the roads should be re-distributed to make room for e-scooters,E-scooters are dangerous for people who use them,E-scooters are dangerous for pedestrians,E-scooters are dangerous for cyclists,E-scooters are dangerous for people driving motor vehicles,Shared e-scooter apps are too difficult to use,Not everybody has the physical and cognitive skills to ride a e-scooter,Riding e-scooters makes people feel free,Riding e-scooters makes people happy,Riding e-scooters makes people feel more independent,Riding an e-scooter is more sustainable than using other modes of transport,Shared e-scooters are difficult to find,Shared e-scooters are not available in my neighbourhood,A person is safe from crime when using e-scooters,The design of e-scooters is not appropriate for my height or weight,I am not sure about which road rules apply to e-scooters,A person is safe from sexual harassment when using e-scooters,Late at night,When it is raining,When the weather is too hot,When the weather is too cold
6u8fiu9eem9r,2022-07-12 08:08:47,50+,Male,White,College or university,Yes,"£40,000 - £60,000",No,Occasionally (one or two times during the last six months),Yes,Weekend,10:00 - 12:00 (pm),Going Home,3,2,1,2,1,3,2,2,1,2,5,2,2,2,2,1,3,4,4,4,5,4,5,4,3,4,3,4,1,4,4
2pf2klu3tm33,2022-07-12 12:54:12,20-25,Female,Any other Mixed/Multiple ethnic background,College or university,Yes,"£20,000 - £40,000",No,Once per week,Yes,Weekday,10:00 - 12:00 (pm),Going Home,4,3,3,4,4,2,4,3,3,4,5,2,2,2,1,3,4,4,4,5,4,2,2,4,2,4,3,4,1,4,0
78paw8kvk6a7,2022-07-12 14:28:18,18-20,Male,White,"Higher or secondary for further education (A-levels, BTEC, etc)",Yes,"£0 - £20,000",No,Occasionally (one or two times during the last six months),Yes,Weekday,8:00 - 10:00 (am),Study,1,3,3,4,4,1,4,3,3,2,4,3,1,1,1,2,4,2,3,2,3,2,5,1,3,2,3,1,0,3,3
6ym7wzt8ulb3,2022-07-12 21:14:07,31-35,Male,White,Post-graduate degree,Yes,"£20,000 - £40,000",No,Occasionally (one or two times during the last six months),Yes,Weekday,12:00 - 2:00 (pm),Leisure/recreation at the destination,4,3,3,3,2,2,4,3,3,3,1,4,2,4,1,2,5,1,3,3,1,3,5,1,1,4,1,2,0,3,0
4zol4jsm3sma,2022-07-13 11:44:55,26-30,Male,White,College or university,Yes,"£60,000 - £80,000",No,More than two times per week,Yes,Weekday,6:00 - 8:00 (pm),Leisure/recreation at the destination,3,5,5,5,4,3,5,1,3,4,4,2,1,1,1,1,3,5,5,5,5,2,1,3,1,1,3,2,1,5,2
6uv74l2kxu99,2022-07-14 23:03:43,31-35,Male,Indian,College or university,Yes,"£40,000 - £60,000",No,Occasionally (one or two times during the last six months),Yes,Weekday,12:00 - 2:00 (pm),Work,3,4,3,3,2,5,5,3,2,3,5,1,1,1,1,1,1,4,5,5,5,4,5,3,1,1,5,5,2,4,4
9ee7tef6t9ya,2022-07-14 23:09:31,35-50,Male,White,College or university,Yes,"£40,000 - £60,000",No,Occasionally (one or two times during the last six months),Yes,Weekday,10:00 - 12:00 (am),Work,4,4,5,4,4,4,5,5,5,4,4,2,1,1,1,1,4,5,5,4,5,2,5,4,1,1,3,1,2,4,1
2yyw2eho47a9,2022-07-15 07:55:51,26-30,Male,White,Post-graduate degree,Yes,"£20,000 - £40,000",No,Once or twice per month,Yes,Weekday,4:00 - 6:00 (pm),Leisure/recreation at the destination,4,4,5,4,4,4,3,3,3,4,2,3,3,1,1,1,3,4,5,5,5,3,2,2,1,3,1,5,5,5,5
8u88h6moc767,2022-07-15 11:17:50,50+,Male,White,"Higher or secondary for further education (A-levels, BTEC, etc)",Yes,"more than £80,000",No,Occasionally (one or two times during the last six months),Yes,Weekday,6:00 - 8:00 (pm),Visiting friends or family,5,4,3,5,5,5,5,5,5,2,1,4,5,3,3,1,5,2,2,3,2,1,1,2,5,1,5,4,2,4,4
2ps3jhx97a66,2022-07-15 20:27:37,31-35,Male,White,Post-graduate degree,Yes,"£40,000 - £60,000",Yes,More than two times per week,Yes,Weekday,10:00 - 12:00 (am),Work,2,3,4,4,4,4,5,5,4,4,5,1,1,1,1,1,3,5,5,5,4,2,1,3,1,1,3,5,5,5,5
28n8lfp6aa8a,2022-07-16 11:38:45,31-35,Female,White,Post-graduate degree,Yes,"£20,000 - £40,000",No,Occasionally (one or two times during the last six months),Yes,Weekday,2:00 - 4:00 (pm),Going Home,5,4,4,3,3,3,5,5,5,3,5,3,3,2,1,1,2,5,5,5,5,2,1,1,1,1,2,4,1,4,4
7yv3k2zpy8u7,2022-07-16 17:15:52,31-35,Male,White,College or university,No,"£40,000 - £60,000",I prefer not to say,Occasionally (one or two times during the last six months),Yes,Weekday,4:00 - 6:00 (pm),Leisure/recreation at the destination,5,1,5,5,5,5,3,3,3,3,3,2,2,3,1,4,3,3,3,3,3,3,3,3,3,4,5,5,0,5,5
3g2le4w8hda7,2022-07-16 22:25:08,31-35,Male,White,College or university,Yes,"£20,000 - £40,000",No,Once or twice per month,Yes,Weekend,8:00 - 10:00 (am),Leisure/recreation at the destination,3,3,5,5,4,4,4,5,4,4,2,3,3,2,2,1,4,5,4,5,3,1,1,2,1,4,2,4,3,4,3
7rw9vvh3cbv9,2022-07-18 08:39:50,20-25,Female,Any other Mixed/Multiple ethnic background,Post-graduate degree,Yes,"£20,000 - £40,000",No,Occasionally (one or two times during the last six months),Yes,Weekday,12:00 - 2:00 (pm),Leisure/recreation using the e-scooter (for fun),5,5,4,4,3,3,4,3,3,3,3,3,4,4,4,2,4,5,3,4,5,2,4,2,1,5,1,0,0,4,1
3bxv4lck9wca,2022-07-19 14:26:31,31-35,Male,White,Post-graduate degree,Yes,"more than £80,000",No,Once or twice per month,Yes,Weekday,8:00 - 10:00 (am),Work,4,4,4,3,3,3,4,4,4,4,5,1,2,2,1,1,4,4,4,4,4,3,2,4,1,4,4,4,1,4,2
2847whg9pmk4,2022-07-19 17:36:33,50+,Female,White,Post-graduate degree,Yes,I prefer not to say,Yes,Occasionally (one or two times during the last six months),Yes,Weekday,4:00 - 6:00 (pm),Going Home,3,1,3,5,5,5,5,3,4,1,3,5,5,5,4,1,5,2,3,3,3,1,1,1,1,5,2,4,4,4,0
8l7fjb642a67,2022-07-20 09:11:02,31-35,Male,White,Post-graduate degree,Yes,"£40,000 - £60,000",No,Once or twice per month,Yes,Weekday,4:00 - 6:00 (pm),Going Home,4,2,4,5,5,5,5,4,3,2,5,3,3,3,1,4,4,4,4,4,5,1,1,2,1,3,2,1,0,4,1
3c6lij384ke6,2022-07-20 11:55:03,26-30,Male,White,Post-graduate degree,Yes,"£20,000 - £40,000",No,Occasionally (one or two times during the last six months),Yes,Weekend,12:00 - 2:00 (pm),Leisure/recreation using the e-scooter (for fun),3,4,4,3,3,3,2,3,3,4,4,4,3,1,1,3,1,5,4,4,4,3,2,3,1,4,2,2,1,4,1
9fu37zt38ua3,2022-07-20 17:15:15,20-25,Female,White,College or university,Yes,"£20,000 - £40,000",No,More than two times per week,Yes,Weekday,6:00 - 8:00 (am),Work,5,3,3,4,4,3,4,4,3,3,4,2,2,1,1,2,4,5,3,4,4,2,3,2,3,4,2,3,2,5,1
662e86sfl3s9,2022-07-20 19:34:34,26-30,Male,White,College or university,Yes,"£20,000 - £40,000",No,Occasionally (one or two times during the last six months),Yes,Weekend,8:00 - 10:00 (pm),Leisure/recreation at the destination,5,4,5,5,5,5,5,5,5,5,4,2,2,2,2,2,4,4,5,5,4,4,5,2,2,3,2,4,4,4,4
6aw28ds79wv3,2022-07-20 20:06:11,26-30,Male,White,College or university,Yes,"£40,000 - £60,000",No,Occasionally (one or two times during the last six months),Yes,Weekday,2:00 - 4:00 (pm),Leisure/recreation at the destination,3,2,4,4,3,5,5,4,3,2,2,3,4,3,3,2,3,4,3,5,5,2,5,3,1,4,3,3,2,4,1
6hb7kuj6cnm8,2022-07-21 08:33:28,31-35,Female,White,College or university,No,"£20,000 - £40,000",Yes,Once or twice per month,Yes,Weekday,4:00 - 6:00 (pm),Going Home,4,4,4,3,4,4,5,4,3,3,4,2,2,2,2,2,4,5,4,5,4,2,1,4,1,2,4,4,3,3,2
9au6mg6uni87,2022-07-21 20:55:56,26-30,Male,White,Post-graduate degree,Yes,"more than £80,000",No,Occasionally (one or two times during the last six months),Yes,Weekend,6:00 - 8:00 (pm),Going Home,3,4,3,3,2,1,5,3,2,4,3,1,2,1,2,1,2,4,4,4,5,3,5,4,1,1,3,4,2,5,2
8ehx6ex3mho6,2022-07-22 10:52:13,35-50,Male,White,College or university,No,"£40,000 - £60,000",Yes,Occasionally (one or two times during the last six months),Yes,Weekday,12:00 - 2:00 (pm),Going Home,3,2,4,2,2,2,1,4,2,3,1,3,4,4,4,4,5,3,3,2,2,2,1,1,3,4,1,2,1,2,4
8kc372r82fm6,2022-07-25 13:16:52,26-30,Female,White,College or university,Yes,"£20,000 - £40,000",No,Occasionally (one or two times during the last six months),Yes,Weekday,10:00 - 12:00 (am),Leisure/recreation at the destination,3,2,3,2,2,3,3,3,3,1,1,4,4,4,4,2,4,2,2,3,2,3,1,1,3,4,2,1,1,3,2
4cs7r6ua7cf8,2022-07-25 15:19:27,26-30,Female,Indian,Post-graduate degree,Yes,"£20,000 - £40,000",No,Occasionally (one or two times during the last six months),Yes,Weekday,8:00 - 10:00 (am),Work,5,5,5,4,3,4,4,4,4,4,3,3,3,3,2,1,5,4,4,4,3,3,5,1,3,4,1,0,2,4,0
6urh34fcj9z3,2022-07-25 19:19:20,26-30,Male,White,Post-graduate degree,Yes,"£40,000 - £60,000",No,Once per week,Yes,Weekday,4:00 - 6:00 (pm),Going Home,4,3,5,3,4,4,3,3,4,3,3,3,2,2,2,1,4,4,4,4,5,2,1,3,1,2,2,1,1,4,1
48sby4vpt4ha,2022-07-27 15:26:37,26-30,Female,Indian,Post-graduate degree,Yes,"£20,000 - £40,000",No,Occasionally (one or two times during the last six months),Yes,Weekend,10:00 - 12:00 (am),Leisure/recreation using the e-scooter (for fun),4,4,4,4,4,4,4,3,4,2,1,5,5,5,5,3,5,3,3,3,1,3,5,1,3,5,1,0,0,0,0
4ph4dc4nb673,2022-07-28 16:04:04,35-50,Male,White,Post-graduate degree,Yes,"more than £80,000",No,More than two times per week,Yes,Weekday,12:00 - 2:00 (pm),Going Home,3,5,5,4,4,4,5,5,4,5,5,1,2,2,2,1,3,5,5,5,4,2,1,3,1,1,2,5,4,5,5
23cnr3in7t84,2022-07-28 21:55:19,31-35,Male,White,Post-graduate degree,No,"£40,000 - £60,000",No,Occasionally (one or two times during the last six months),Yes,Weekend,2:00 - 4:00 (pm),Leisure/recreation at the destination,2,1,1,4,4,4,3,3,1,1,1,5,5,5,3,3,5,2,2,1,1,1,5,1,2,3,1,1,0,4,0
3c7fik72pv36,2022-07-29 12:51:46,31-35,Female,White and Asian,Primary school,Yes,"£0 - £20,000",No,Occasionally (one or two times during the last six months),Yes,Weekend,12:00 - 2:00 (pm),Going Home,4,3,3,2,1,5,4,3,2,4,5,1,2,2,1,1,1,3,5,5,4,4,4,2,1,1,2,5,4,4,4
76umw84fdm44,2022-07-29 19:45:23,35-50,Male,Any other white background,Post-graduate degree,Yes,"£60,000 - £80,000",No,Occasionally (one or two times during the last six months),Yes,Weekday,12:00 - 2:00 (pm),Shopping,5,4,4,2,2,4,3,3,2,4,4,2,1,1,1,2,5,5,5,5,5,5,5,3,1,2,3,5,4,5,5
2mg7th2ctv33,2022-07-29 20:28:49,35-50,Female,White,College or university,Yes,"£20,000 - £40,000",No,Occasionally (one or two times during the last six months),Yes,Weekday,4:00 - 6:00 (pm),Visiting friends or family,5,3,4,5,5,4,5,3,2,4,2,2,2,2,2,1,5,5,5,5,5,2,1,4,1,1,4,5,0,4,1
2ib29m9p7893,2022-08-02 15:17:43,26-30,Female,White,College or university,Yes,"£20,000 - £40,000",No,Once or twice per month,Yes,Weekend,8:00 - 10:00 (pm),Going Home,4,3,4,3,2,3,4,3,4,4,5,4,3,2,1,2,5,4,3,5,3,3,4,3,4,2,1,4,2,5,1
7uk4l7ixg243,2022-08-04 08:59:41,18-20,Female,Any other Asian Background,"Higher or secondary for further education (A-levels, BTEC, etc)",Yes,"£0 - £20,000",Yes,Occasionally (one or two times during the last six months),Yes,Weekend,4:00 - 6:00 (pm),Leisure/recreation using the e-scooter (for fun),3,3,2,2,3,1,4,4,2,2,4,4,4,3,2,3,5,3,4,2,4,3,2,2,4,5,2,1,1,4,2
6mo9v8lub7b8,2022-08-04 18:22:37,26-30,Male,White,College or university,Yes,"£20,000 - £40,000",No,Once or twice per month,Yes,Weekday,12:00 - 2:00 (pm),Leisure/recreation at the destination,1,3,4,3,2,1,4,4,2,5,4,1,2,2,1,2,3,3,4,4,4,4,5,2,1,2,1,4,1,4,1
46uv3dyo2tx9,2022-08-04 19:45:32,26-30,Female,White,College or university,Yes,"£20,000 - £40,000",No,Occasionally (one or two times during the last six months),Yes,Weekday,12:00 - 2:00 (pm),Leisure/recreation using the e-scooter (for fun),3,3,5,5,5,5,5,3,5,5,2,3,4,2,4,3,4,3,3,3,3,5,5,3,2,5,2,4,0,4,0
8ze8c489rgm7,2022-08-05 07:50:15,35-50,Female,White,Post-graduate degree,Yes,I prefer not to say,Yes,Once per week,Yes,Weekday,10:00 - 12:00 (am),Work,3,5,3,5,5,5,5,5,3,5,5,1,1,1,1,1,1,5,5,5,5,1,5,5,5,5,5,5,5,5,5
3cly4ut7hyn6,2022-08-05 09:39:27,26-30,Male,White,Post-graduate degree,Yes,"£40,000 - £60,000",No,Once or twice per month,Yes,Weekday,4:00 - 6:00 (pm),Work,4,3,4,3,2,2,2,2,3,3,4,2,2,2,1,2,4,4,4,4,4,4,3,3,2,4,2,4,2,4,2
3dl8d7ucn3j6,2022-08-05 10:14:53,50+,Male,White,College or university,Yes,"more than £80,000",No,Occasionally (one or two times during the last six months),Yes,Weekend,6:00 - 8:00 (pm),Leisure/recreation at the destination,5,5,5,3,3,5,4,3,4,5,5,1,1,1,1,3,2,5,5,5,5,4,5,5,1,1,1,5,5,5,5
7ch773wfy277,2022-08-05 10:26:30,31-35,Male,White,Post-graduate degree,Yes,"£60,000 - £80,000",No,Occasionally (one or two times during the last six months),Yes,Weekday,12:00 - 2:00 (pm),Leisure/recreation at the destination,4,4,3,3,4,3,5,4,3,3,4,1,1,1,2,1,2,4,4,5,5,2,3,3,2,3,2,4,2,5,4
7b2jnb3cxc38,2022-08-05 12:07:29,20-25,Male,White,College or university,No,"£20,000 - £40,000",Yes,Occasionally (one or two times during the last six months),Yes,Weekday,10:00 - 12:00 (pm),Leisure/recreation at the destination,3,3,4,5,4,4,5,4,2,4,5,2,3,2,1,1,3,5,5,5,5,2,1,3,1,3,4,5,2,4,4
2lk9snx8lr9s,2022-08-05 13:23:42,26-30,Male,White,College or university,Yes,"£20,000 - £40,000",No,Once per week,Yes,Weekday,4:00 - 6:00 (pm),Leisure/recreation at the destination,3,4,4,5,4,5,4,4,3,3,3,3,2,2,1,1,1,4,3,4,3,3,1,3,2,4,3,5,4,1,4
4sv6keo2obl3,2022-08-05 13:37:35,31-35,Male,Any other Asian Background,"Higher or secondary for further education (A-levels, BTEC, etc)",Yes,"£20,000 - £40,000",No,Occasionally (one or two times during the last six months),Yes,Weekday,2:00 - 4:00 (pm),Leisure/recreation at the destination,5,5,5,3,3,5,5,3,3,4,2,2,3,1,2,1,4,3,3,3,4,5,5,3,2,5,3,5,1,5,2
6r2knz28cam4,2022-08-05 16:46:28,20-25,Female,White and Black African,College or university,Yes,"£0 - £20,000",No,Occasionally (one or two times during the last six months),Yes,Weekend,4:00 - 6:00 (pm),Leisure/recreation using the e-scooter (for fun),4,4,4,3,3,2,4,4,2,3,5,4,3,2,4,3,4,5,2,4,3,3,2,3,2,3,4,3,2,4,5
3ci7jot43ifd,2022-08-06 09:08:53,35-50,Male,White,Post-graduate degree,Yes,I prefer not to say,No,Occasionally (one or two times during the last six months),Yes,Weekday,8:00 - 10:00 (am),Work,4,3,4,5,5,5,4,2,4,4,3,4,4,4,2,2,4,4,4,4,4,3,5,2,1,3,2,5,1,4,1
4ns4a82het83,2022-08-06 11:01:08,50+,Male,White,College or university,Yes,"more than £80,000",No,Occasionally (one or two times during the last six months),Yes,Weekday,6:00 - 8:00 (pm),Leisure/recreation at the destination,4,3,3,2,2,1,2,1,2,1,1,4,5,4,2,2,5,4,3,3,3,4,4,2,2,2,3,1,1,2,2
7w6pue4lyt73,2022-08-06 11:45:38,20-25,Male,White,College or university,No,"£20,000 - £40,000",No,Occasionally (one or two times during the last six months),Yes,Weekday,10:00 - 12:00 (am),Work,4,4,5,4,1,2,4,4,3,4,3,2,1,2,3,1,5,4,4,4,4,3,5,3,2,2,3,1,0,5,2
4t79a6pik6f3,2022-08-06 12:05:07,31-35,Male,Irish,College or university,Yes,"more than £80,000",No,Once per week,Yes,Weekday,8:00 - 10:00 (am),Work,3,4,5,5,3,2,4,3,3,5,4,1,1,1,1,2,4,4,5,5,5,4,5,3,3,1,3,4,2,4,4
9gd2shk24gs6,2022-08-06 13:47:03,26-30,Prefer not to say,White,Post-graduate degree,Yes,"£20,000 - £40,000",No,Once or twice per month,Yes,Weekday,10:00 - 12:00 (pm),Leisure/recreation using the e-scooter (for fun),3,2,3,3,1,4,4,3,3,2,4,4,4,3,3,2,4,4,4,4,4,5,3,3,1,1,2,5,0,5,1
7dhc6vga6z76,2022-08-06 17:02:28,20-25,Male,White,College or university,Yes,"£20,000 - £40,000",No,Once per week,Yes,Weekend,4:00 - 6:00 (pm),Shopping,2,4,4,4,4,4,5,5,3,5,2,1,2,1,2,1,3,4,3,3,3,2,1,2,1,1,1,4,2,4,2
6sz73x2mff68,2022-08-06 20:57:53,20-25,Male,White,College or university,Yes,"£40,000 - £60,000",No,Occasionally (one or two times during the last six months),Yes,Weekday,4:00 - 6:00 (pm),Leisure/recreation using the e-scooter (for fun),2,1,5,4,4,4,5,4,2,1,3,5,5,5,5,3,5,3,3,3,2,2,1,2,1,4,3,0,0,0,0
2wk8pgf9db89,2022-08-06 21:04:08,26-30,Male,White,"Higher or secondary for further education (A-levels, BTEC, etc)",Yes,"£40,000 - £60,000",No,More than two times per week,Yes,Weekday,10:00 - 12:00 (pm),Going Home,2,3,4,5,3,4,3,4,2,4,5,3,2,4,1,1,4,5,5,5,3,1,1,3,1,1,4,5,2,5,2
7dm8aiz2rlj4,2022-08-06 21:30:53,31-35,Male,White,College or university,Yes,"£20,000 - £40,000",No,Occasionally (one or two times during the last six months),Yes,Weekend,2:00 - 4:00 (pm),Leisure/recreation using the e-scooter (for fun),4,5,5,2,2,4,5,4,5,3,1,2,4,2,5,1,4,5,5,4,5,1,1,1,1,3,1,5,1,5,1
837nyz3jpj9a,2022-08-07 19:11:47,20-25,Female,African,College or university,Yes,"£20,000 - £40,000",No,Occasionally (one or two times during the last six months),Yes,Weekend,2:00 - 4:00 (pm),Leisure/recreation using the e-scooter (for fun),3,4,4,3,2,1,4,4,2,4,5,2,2,1,1,2,4,5,3,5,3,4,3,4,3,4,4,4,2,4,2
6w4cc9xlk6f6,2022-08-07 20:31:45,20-25,Female,Pakistani,College or university,No,"£0 - £20,000",No,More than two times per week,Yes,Weekday,0:00 - 6:00 (am),Leisure/recreation using the e-scooter (for fun),2,4,4,3,3,4,4,3,2,4,2,1,1,1,1,1,4,4,5,4,5,3,1,3,1,1,3,5,2,5,3
4fxg8xhd22ya,2022-08-08 14:35:56,26-30,Male,White,College or university,Yes,I prefer not to say,Yes,More than two times per week,Yes,Weekday,4:00 - 6:00 (pm),Leisure/recreation at the destination,3,3,5,2,1,2,4,3,2,4,5,1,1,1,1,1,5,5,5,5,5,3,4,4,1,2,4,5,5,4,5
8tm8x6su34oa,2022-08-08 17:31:59,50+,Male,White,Post-graduate degree,Yes,"more than £80,000",No,Once or twice per month,Yes,Weekday,4:00 - 6:00 (pm),Going Home,3,3,3,3,3,3,4,4,2,4,2,3,3,1,2,1,4,3,3,3,2,3,5,2,2,1,1,4,2,1,4
8lrk7996b97g,2022-08-08 18:12:16,35-50,Male,White,College or university,Yes,"£20,000 - £40,000",No,Occasionally (one or two times during the last six months),Yes,Weekday,8:00 - 10:00 (am),Work,3,3,4,3,3,3,3,3,2,3,4,4,2,3,2,2,4,4,3,4,4,3,5,3,1,1,3,4,4,4,4
33lfr9chw26a,2022-08-08 19:07:17,35-50,Male,White,"Higher or secondary for further education (A-levels, BTEC, etc)",No,"£20,000 - £40,000",No,Once or twice per month,Yes,Weekday,6:00 - 8:00 (pm),Going Home,3,3,4,3,3,2,3,2,3,4,3,1,2,1,2,1,4,4,4,4,4,2,3,3,1,4,3,4,1,5,1
7dne2ljd9ka9,2022-08-08 20:48:24,35-50,Male,White,Post-graduate degree,Yes,"more than £80,000",No,Once or twice per month,Yes,Weekday,6:00 - 8:00 (pm),Leisure/recreation at the destination,5,3,5,4,4,3,4,3,5,3,4,2,1,1,1,2,2,5,5,5,5,2,4,5,1,2,4,5,5,5,1
8it7ctz9i8n4,2022-08-08 21:39:32,35-50,Male,White,College or university,Yes,"£40,000 - £60,000",No,Occasionally (one or two times during the last six months),Yes,Weekday,8:00 - 10:00 (am),Work,3,3,4,4,1,1,3,3,3,3,5,2,2,1,1,3,4,4,4,4,4,3,5,3,1,1,3,4,2,5,3
4vd9l6m3vii3,2022-08-09 00:14:01,31-35,Male,White,College or university,Yes,I prefer not to say,I prefer not to say,Occasionally (one or two times during the last six months),Yes,Weekday,6:00 - 8:00 (am),Shopping,5,4,4,4,4,5,2,2,2,3,3,3,1,1,1,2,3,5,5,5,5,3,5,3,3,3,3,4,4,4,4
